,anime_id,name,genre,type,episodes,members,rating
47,1030,Heisei Tanuki Gassen Ponpoko,Kids,Movie,1,34263,7.42
48,6299,Maria-sama ga Miteru 4th Specials,Comedy,Special,11,3659,7.41
49,7761,Masuda Kousuke Gekijou Gag Manga Biyori +,Comedy,TV,12,1123,7.41
50,4921,Ramayana: The Legend of Prince Rama,Adventure,Movie,1,517,7.4
51,14951,Wonderful Rush,Music,Music,1,6807,7.4
52,2675,Doraemon Movie 17: Nobita to Ginga Express,Fantasy,Movie,1,1342,7.39
53,1521,Black Jack the Movie,Drama,Movie,1,6404,7.38
54,2660,Doraemon: Nobita&#039;s the Night Before a Wedding,Fantasy,Movie,1,983,7.38
55,33190,Planetarian: Hoshi no Hito,Magic,Movie,1,9461,7.38
56,10448,Rain Town,Drama,ONA,1,12489,7.38
57,22013,Ghost in the Shell: Nyuumon Arise,Comedy,TV,26,4636,7.37
58,8134,"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",Comedy,Movie,1,1577,7.37
59,9888,Shinryaku! Ika Musume Specials,Comedy,Special,2,14497,7.37
60,31780,Kimi no Kokoro wa Kagayaiteru kai?,Music,Music,1,2762,7.35
61,4056,Masuda Kousuke Gekijou Gag Manga Biyori 3,Comedy,TV,12,1615,7.36
62,9925,Amagami SS: Tachibana Miya-hen - Imouto,School,Special,1,31019,7.35
63,30206,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Comedy,Special,1,30342,7.35
64,11033,"Natsu-iro Egao de 1, 2, Jump!",Music,Music,1,6939,7.34
65,12669,Amagami SS+ Plus Specials,Romance,Special,6,17764,7.33
66,24429,Daze,Music,Music,1,2919,7.33
67,2667,Doraemon Movie 04: Nobita no Kaitei Kiganjou,Fantasy,Movie,1,1168,7.33
68,7261,Mameshiba,Comedy,Special,24,3085,7.33
69,20877,Music S.T.A.R.T!!,Music,Music,1,5729,7.33
70,2671,Doraemon Movie 03: Nobita no Daimakyou,Adventure,Movie,1,1156,7.32
71,12637,Mo Gyutto Love de Sekkinchuu!,Music,Music,1,6713,7.32
72,12623,Egomama,Music,Music,1,1471,7.29
73,4071,Black Jack (TV): Hizouban Specials,Adventure,Special,2,1707,7.29
74,6954,Kara no Kyoukai: Shuushou,Mystery,Special,1,45718,7.29
75,34178,Inazuma Eleven: Outer Code,Sports,ONA,Unknown,1072,7.28
76,4134,Naruto Shippuuden: Shippuu! &quot;Konoha Gakuen&quot; Den,Comedy,Special,1,34056,7.28
77,5397,Usavich III,Comedy,TV,13,3038,7.28
78,17819,Kyoto Animation: Suiei-hen,Sports,Special,1,8347,7.27
79,4705,Tengen Toppa Gurren Lagann: Parallel Works,Music,Music,8,22213,7.27
80,4586,Daisuki! BuBu ChaCha,Kids,TV,26,800,7.26
81,2659,Doraemon Movie 14: Nobita to Buriki no Labyrinth,Fantasy,Movie,1,1181,7.26
82,27567,Fushigi Yuugi Special: Nakago Shikkari Shinasai!,Comedy,Special,2,943,7.25
83,3624,Seimei no Kagaku: Micro Patrol,Adventure,TV,26,801,7.26
84,22859,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,Comedy,Special,1,13238,7.26
85,22359,Sanzoku no Musume Ronja,Adventure,TV,26,15236,7.25
86,8909,Tales of Symphonia The Animation: Tethe&#039;alla-hen Specials,Comedy,Special,4,5067,7.25
87,24973,Bokura wa Minna Kawaisou Specials,Comedy,Special,14,7292,7.23
88,13561,Guilty Crown: 4-koma Gekijou,Comedy,Special,11,13053,7.23
89,23361,Bakuman. 3rd Season Specials,Comedy,Special,2,6765,7.22
90,2937,Bishoujo Senshi Sailor Moon R: Make Up! Sailor Senshi,Shoujo,Special,1,10441,7.22
91,4286,Bonobono (TV),Comedy,TV,48,418,7.22
92,5983,Higepiyo,Comedy,TV,39,4427,7.22
93,4156,Ichigo Mashimaro Episode 0,Comedy,Special,1,9610,7.21
94,9733,The TV Show,Music,Music,1,2066,7.21
95,9907,Bokura no Live Kimi to no Life,Music,Music,1,10426,7.2
96,15159,Fantastic Children Special,Slice of Life,Special,1,873,7.2
97,6909,Jungle Taitei: Yuuki ga Mirai wo Kaeru,Adventure,Special,1,1163,7.19
98,5279,Sekirei: Hajimete no Otsukai,Comedy,Special,1,32430,7.19
99,12709,Tales of Symphonia The Animation: Sekai Tougou-hen Specials,Comedy,Special,3,3692,7.19
100,33080,Brotherhood: Final Fantasy XV,Action,ONA,5,29445,7.18
101,7654,Tokyo Magnitude 8.0 Recap,Drama,Special,1,4257,7.18
102,23237,Chuunibyou demo Koi ga Shitai! Ren Specials,Comedy,Special,7,20337,7.17
103,19067,Future Card Buddyfight,Game,TV,64,3417,7.17
104,10108,Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary,Comedy,Special,16,14917,7.16
105,2891,Iblard Jikan,Fantasy,OVA,1,11116,7.15
106,33242,IS: Infinite Stratos 2 - Infinite Wedding,,Special,1,6604,7.15
107,32030,MEMORiES MELODiES,Music,Music,1,699,7.15
108,4742,Papa to Odorou,Comedy,TV,16,567,7.14
109,3493,Ryuusei no Rockman Tribe,Adventure,TV,21,3510,7.14
110,19697,Toaru Kagaku no Railgun S: Motto Marutto Railgun,Comedy,Special,2,14807,7.14
111,23425,Karneval Specials,Comedy,Special,11,4415,7.13
112,10276,Prince of Tennis: Mini Theater,Comedy,Special,3,3010,7.13
113,30896,Love Live! School Idol Project: μ&#039;s →NEXT LoveLive! 2014 - Endless Parade Encore Animation,Comedy,Special,1,1733,7.13
114,3332,Stop!! Hibari-kun!,Comedy,TV,35,1355,7.12
115,9673,Ura Tegamibachi,Comedy,Special,25,3326,7.12
116,32607,Gi(a)rlish Number,Slice of Life,TV,12,35072,7.11
117,11487,Sekiranun Graffiti,Music,Music,1,4014,7.11
118,31368,Grisaia no Rakuen Specials,Ecchi,Special,5,15055,7.09
119,32700,Heart Realize,Music,Music,1,1626,7.09
120,3811,Hoshi no Oujisama Petit Prince,Adventure,TV,39,736,7.09
121,17635,Koitabi: True Tours Nanto,Romance,Special,6,7452,7.09
122,10720,Korekuraide Utau,Music,Music,1,1395,7.09
123,6884,Ookami to Koushinryou II Specials,Fantasy,Special,2,34903,7.09
124,3847,Sekai Meisaku Douwa: Hakuchou no Ouji,Fantasy,Movie,1,809,7.09
125,6902,Saikyou Bushouden: Sangoku Engi,Historical,TV,52,1363,7.07
126,4810,Shinzou Ningen Casshern,Action,TV,35,2822,7.07
127,30903,Children Record,Music,Music,2,745,7.06
128,11809,gdgd Fairies,Comedy,TV,12,2284,7.06
129,673,Mai-HiME Specials,Comedy,Special,27,9210,7.06
130,32468,Nirvana,Music,Music,1,1760,7.06
131,21409,The iDOLM@STER Cinderella Girls 2nd Anniversary PV,Music,Music,1,2408,7.06
132,19845,Ore no Imouto ga Konnani Kawaii Wake ga Nai.: SD Chara ni Yoru Short Movie,Comedy,Special,13,6311,7.05
133,15673,Tell Your World,Music,Music,1,2630,7.05
134,2280,Hare Tokidoki Buta (TV),Comedy,TV,61,607,7.04
135,580,Kogepan,Comedy,TV,10,4436,7.04
136,30514,Nisekoimonogatari,Music,ONA,1,17116,7.04
137,31559,Prince of Stride: Alternative,Sports,TV,12,79630,7.04
138,23369,Bakuman. 2nd Season Special,Comedy,Special,1,6812,7.02
139,8440,Black Lagoon Omake,Comedy,Special,7,33923,7.02
140,10116,Crayon Shin-chan Movie 19: Arashi wo Yobu Ougon no Spy Daisakusen,Comedy,Movie,1,795,7.02
141,3519,Garakuta-doori no Stain,Comedy,TV,13,641,7.02
142,8677,Sangokushi (1985),Historical,Special,1,231,7.02
143,2715,Totsuzen! Neko no Kuni Banipal Witt,Adventure,Movie,1,1138,7.02
144,5136,Flag Director&#039;s Edition: Issenman no Kufura no Kiroku,Action,Movie,1,987,7.01
145,5043,Hurricane Live! 2032,Music,Special,6,1039,7.01
146,6246,Black Jack: Sora kara Kita Kodomo,Drama,OVA,1,1595,7.0
147,2274,CLAMP in Wonderland,Music,Music,1,12267,6.99
148,1841,Dai Mahou Touge Omake,Comedy,Special,4,5579,6.99
149,5891,Kousoku Denjin Albegus,Mecha,TV,45,698,6.99
150,20889,Kuro no Sumika: Chronus,Psychological,Movie,1,12270,6.99
151,9884,Osomatsu-kun,Comedy,TV,56,1322,6.99
152,2646,Dorami &amp; Doraemons: Robot School&#039;s Seven Mysteries,Fantasy,Movie,1,569,6.98
153,30039,Future Card Buddyfight 100,Game,TV,50,1365,6.98
154,8092,Bakumatsu no Spasibo,Historical,Movie,1,647,6.97
155,25045,Barakamon: Mijikamon,Comedy,ONA,13,18119,6.97
156,25907,Glass no Hana to Kowasu Sekai,Sci-Fi,Movie,1,17105,6.97
157,1501,Kaleido Star: Good da yo! Goood!!,Comedy,OVA,1,5044,6.97
158,10346,Ring ni Kakero 1: Sekai Taikai-hen,Sports,TV,6,566,6.96
159,8023,Toaru Kagaku no Railgun: Motto Marutto Railgun,Comedy,Special,2,26302,6.96
160,2728,TWO-MIX: White Reflection,Music,Music,1,1708,6.96
161,33589,ViVid Strike!,,TV,12,12345,6.96
162,29101,Grisaia no Kajitsu Specials,Ecchi,Special,6,26747,6.95
163,10348,Fireball Charming,Sci-Fi,TV,13,5640,6.94
164,13281,FlashBack,Music,Music,1,1508,6.94
165,3367,Furusato Japan,Historical,Movie,1,1464,6.94
166,5249,Mitsume ga Tooru,Adventure,TV,48,383,6.94
167,2316,Akakichi no Eleven,Sports,TV,52,957,6.93
168,4856,Fuuma no Kojirou: Fuuma Hanran-hen,Action,OVA,1,549,6.93
169,6199,Mai-Otome Zwei Special,Magic,Special,1,2512,6.93
170,9883,Osomatsu-kun (1988),Comedy,TV,86,1723,6.93
171,10513,Usavich IV,Comedy,TV,13,1660,6.93
172,5104,Andes Shounen Pepero no Bouken,Adventure,TV,26,423,6.92
173,4854,Fuuma no Kojirou: Yasha-hen,Action,OVA,6,819,6.92
174,3646,Glass no Usagi,Historical,Movie,1,1151,6.92
175,33037,Tsukiuta. The Animation,Music,TV,13,11183,6.92
176,13053,Aimai Elegy,Music,Music,1,1646,6.91
177,4855,Fuuma no Kojirou: Seiken Sensou-hen,Action,OVA,6,690,6.91
178,33420,RESTART POiNTER,Music,Music,1,364,6.91
179,7245,Sekai Meisaku Douwa: Wow! Maerchen Oukoku,Fantasy,TV,26,227,6.91
180,4804,To Heart 2 AD Plus,Romance,OVA,2,3772,6.91
181,2938,Idol Densetsu Eriko,Music,TV,51,1776,6.9
182,8062,Mai-HiME: Kuro no Mai/Saigo no Bansan,Comedy,Special,1,4093,6.9
183,1597,Panyo Panyo Di Gi Charat,Comedy,TV,48,3207,6.89
184,33031,Shakunetsu no Takkyuu Musume,Sports,TV,12,14465,6.89
185,1755,Di Gi Charat Ohanami Special,Comedy,Special,4,1553,6.88
186,21879,Sword Art Online: Sword Art Offline - Extra Edition,Comedy,Special,1,27380,6.88
187,22513,Freely Tomorrow,Music,Music,1,1199,6.87
188,25897,Love Live! School Idol Project: μ&#039;s →NEXT LoveLive! 2014 - Endless Parade Makuai Drama,Comedy,Special,3,5282,6.87
189,3618,Moyashimon: Kin Gekijou Deluxe,Comedy,Special,4,4783,6.87
190,7016,Senjou no Valkyria: SenVal Theater,Comedy,Special,9,8006,6.87
191,12659,Nisoku Hokou,Music,Music,1,1116,6.86
192,25259,Persona 4 the Animation: A Brief Lesson on Izanagi &amp; Izanami,School,Special,1,2497,6.86
193,20843,"Senki Zesshou Symphogear G: In the Distance, That Day, When the Star Became Music... Specials",Comedy,Special,2,4645,6.86
194,22759,Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,Comedy,OVA,1,13119,6.86
195,15547,Cross Fight B-Daman eS,Kids,TV,52,711,6.85
196,2934,Shiawase Sou no Okojo-san,Comedy,TV,51,1138,6.85
197,13755,Feeling from Mountain and Water,Music,Movie,1,437,6.82
198,5036,Hurricane Live! 2033,Music,Special,7,972,6.84
199,21835,Majin Bone,Game,TV,52,6836,6.84
200,10532,Working&#039;!! Announcement Specials,Comedy,ONA,2,8973,6.84
201,24823,Days,Music,Music,1,2907,6.83
202,1756,Di Gi Charat Natsuyasumi Special,Comedy,Special,4,1609,6.83
203,8705,Phantom: Requiem for the Phantom Picture Drama,Comedy,Special,12,4368,6.83
204,7229,Black Jack ONA,Drama,ONA,12,1297,6.82
205,6855,Da Nao Tiangong,Adventure,Movie,1,342,6.82
206,32946,Gyakuten Saiban 6 Prologue,Mystery,ONA,1,1108,6.81
207,6958,Hyakko OVA,Comedy,OVA,1,8206,6.82
208,11177,Cross Fight B-Daman,Adventure,TV,52,1921,6.81
209,1757,Di Gi Charat Christmas Special,Comedy,Special,1,2041,6.81
210,8187,Fumiko no Kokuhaku,Comedy,ONA,1,13829,6.81
211,21541,Hentai Ouji to Warawanai Neko.: Henneko BBS,Comedy,Special,13,15586,6.81
212,16964,Inazuma Eleven Go: TCG CM NG-shuu,Comedy,Special,1,898,6.81
213,15431,Natsu-iro Kiseki: 15-kaime no Natsuyasumi,Slice of Life,OVA,1,5295,6.81
214,12455,Yuu☆Yuu☆Hakusho: Mu Mu Hakusho,Comedy,OVA,4,3670,6.81
215,8632,Chuuzumou,Comedy,Movie,1,988,6.8
216,1758,Di Gi Charat Tsuyu Specials,Comedy,Special,2,963,6.8
217,3355,Fortune Dogs,Adventure,TV,39,400,6.8
218,27857,Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu,Comedy,ONA,14,8472,6.8
219,2628,"The☆Doraemons: Strange, Sweets, Strange?",Fantasy,Movie,1,432,6.8
220,6670,8-gatsu no Symphony: Shibuya 2002-2003,Music,Movie,1,789,6.79
221,5936,Hashire! Shiroi Ookami,Drama,Movie,1,485,6.79
222,9001,Je T&#039;aime,Sci-Fi,OVA,1,3830,6.79
223,17731,Ketsuekigata-kun!,Comedy,TV,12,6331,6.79
224,25241,Akame ga Kill! Theater,Comedy,ONA,24,26852,6.78
225,1752,Di Gi Charat: Hoshi no Tabi,Comedy,Movie,1,1973,6.78
226,4050,Kouchuu Ouja Mushiking: Mori no Tami no Densetsu,Fantasy,TV,52,1108,6.78
227,9519,Medaka no Gakkou,Comedy,OVA,5,434,6.78
228,6666,Passion,Music,Music,1,2100,6.78
229,23439,Toki wa Meguru: Tokyo Station,Slice of Life,ONA,1,2862,6.78
230,28063,Sword Art Online II: Sword Art Offline II,Comedy,Special,9,19677,6.77
231,13263,Fate/Zero: Onegai! Einzbern Soudanshitsu,Comedy,Special,6,19326,6.76
232,8783,Nezha Nao Hai,Kids,Movie,1,255,6.76
233,12699,Tales of Gekijou,Comedy,Special,5,2853,6.76
234,31521,Ushinawareta Mirai wo Motomete: Ushinawareta Natsuyasumi wo Motomete,Romance,Special,1,3437,6.76
235,16906,Line Offline: Salaryman,Comedy,TV,114,1190,6.75
236,28619,Ranpo Kitan: Game of Laplace,Mystery,TV,11,66777,6.75
237,4173,Shigofumi Picture Drama,Comedy,Special,7,2804,6.75
238,12935,Utakata Hanabi,Music,Music,1,1375,6.75
239,2467,3 Choume no Tama: Uchi no Tama Shirimasenka?,Adventure,TV,35,967,6.74
240,5016,Fluximation,Music,Music,14,2240,6.74
241,28207,Ketsuekigata-kun! 2,Comedy,TV,12,2265,6.74
242,6975,Koro no Dai Sanpo,Adventure,Special,1,1055,6.74
243,32730,Love Live! x Watering KissMint Collaboration CM,Music,Special,1,1729,6.73
244,25117,Ryuugajou Nanana no Maizoukin (TV) Specials,Comedy,Special,6,3689,6.74
245,1958,Wish,Music,Music,1,5321,6.74
246,17493,Ashita Genki ni Nare!: Hanbun no Satsumaimo,Drama,Movie,1,365,6.74
247,6728,Helen Keller Monogatari: Ai to Hikari no Tenshi,Drama,Movie,1,285,6.73
248,9362,Hyakka Ryouran: Samurai Girls Specials,Ecchi,Special,6,15446,6.73
249,9495,Inochi no Chikyuu: Dioxin no Natsu,Drama,Movie,1,335,6.73
250,20391,Hidamari Sketch: Chou Hidamatsuri Special,Comedy,Special,1,1496,6.72
251,31344,K: Missing Kings - Manner Movie,Comedy,Movie,1,3235,6.72
252,2733,Mobile Police Patlabor: MiniPato,Parody,OVA,3,1831,6.72
253,2282,Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning,Historical,TV,26,444,6.72
254,3874,Ashita e Free Kick,Sports,TV,52,1012,6.71
255,1754,Di Gi Charat Summer Special 2000,Comedy,Special,4,1685,6.7
256,20613,Viva Namida,Music,Music,1,2376,6.7
257,6533,Atarashii Sekai,Music,Music,1,1477,6.69
258,32511,Girls und Panzer: Nihon Senshadou Renmei News,Comedy,Special,2,1134,6.69
259,2211,Jumping,Adventure,Movie,1,2341,6.69
260,4112,Mouse and His Child,Adventure,Movie,1,211,6.69
261,6137,Tsuki no Waltz,Music,Music,1,1499,6.69
262,29255,Ghost in the Shell Arise Episode: [.jp],Action,Special,1,2209,6.68
263,7875,Kanokon: Manatsu no Dai Shanikusai Specials,Ecchi,Special,2,10513,6.68
264,2568,Kojika Monogatari,Drama,TV,52,291,6.68
265,21451,Nihonbashi Koukashita R Keikaku,Music,Music,1,1325,6.68
266,5957,Nyoro-n Churuya-san,Comedy,ONA,13,21340,6.68
267,31048,Burenai Ai de,Music,Music,1,522,6.67
268,5147,Comic Party Revolution OVA,Comedy,OVA,4,2237,6.67
269,7775,Futatsu no Kurumi,Drama,Special,1,552,6.67
270,9916,Samurai Giants,Sports,TV,46,319,6.67
271,3389,Bus Gamer,Action,TV,3,20550,6.66
272,2895,Kujiratori,Adventure,Movie,1,1572,6.66
273,12661,Light Lag,Music,Music,1,891,6.66
274,32446,MONSTER GENERATiON,Music,Music,1,468,6.66
275,31144,Mottainai,Slice of Life,Special,1,2234,6.66
276,12437,Yuri Seijin Naoko-san (2012),Comedy,OVA,1,6578,6.66
277,15951,Amagami SS+ Plus Picture Drama,Romance,Special,2,8232,6.65
278,9558,Cheung gong chat hou,Kids,Movie,1,215,6.65
279,9900,Hamster Club,Kids,TV,140,318,6.65
280,11583,Kami nomi zo Shiru Sekai: Natsu-iro Surprise,Music,Music,1,5772,6.65
281,23943,Mobile Suit Gundam Unicorn: One of Seventy Two,Mecha,Special,1,889,6.65
282,32190,Omoi no Kakera,Slice of Life,Special,1,2301,6.65
283,17913,Redial,Music,Music,1,1710,6.66
284,17092,Dallyeola Hani,Sports,TV,13,209,6.64
285,21241,Kyoukai no Kanata: Idol Saiban! Mayoi Nagara mo Kimi wo Sabaku Tami,Comedy,ONA,5,19389,6.64
286,6368,Legend of Regios,Magic,Special,3,6194,6.64
287,9531,Tezuka Osamu Monogatari: Boku wa Son Gokuu,Adventure,Special,1,244,6.64
288,33377,Trickster: Edogawa Ranpo &quot;Shounen Tanteidan&quot; yori,Mystery,TV,24,52260,6.64
289,30056,Amagi Brilliant Park: Wakuwaku Mini Theater - Rakugaki Backstage,Comedy,Special,7,14515,6.63
290,13253,Blossom,Music,Movie,1,2825,6.63
291,6472,Gakkou no Kowai Uwasa: Hanako-san ga Kita!!,Horror,TV,35,637,6.63
292,2617,Ghiblies,Comedy,Special,2,3230,6.63
293,30088,Ryoutei no Aji,Slice of Life,Special,4,538,6.63
294,5583,Sonic: Night of the WereHog,Action,ONA,1,3424,6.63
295,30953,Arslan Senki (TV) Specials,Comedy,Special,8,5241,6.62
296,5449,Chibi Kero: Kerobouru no Himitsu!?,Comedy,Special,1,625,6.62
297,33145,Detective Conan: Nazo no Suisei Kaijuu wo Oe!,Mystery,OVA,1,976,6.62
298,3842,Doubutsu Takarajima,Adventure,Movie,1,818,6.62
299,32561,Hai to Gensou no Grimgar Special,Comedy,Special,1,18358,6.62
300,9203,K-On!!: Ura-On!!,Comedy,Special,9,23216,6.62
301,11507,Kami nomi zo Shiru Sekai: Nonstop!! Hunters,Music,Music,1,6634,6.62
302,15279,Kira Kira 5th Anniversary Live Anime: Kick Start Generation,Music,OVA,1,1381,6.62
303,32031,Leopard Eyes,Music,Music,1,473,6.62
304,4481,Saiyuuki,Adventure,Movie,1,1175,6.62
305,2626,The☆Doraemons: Mushimushi Pyonpyon Daisakusen!,Fantasy,Movie,1,479,6.62
306,16347,Usavich V,Comedy,TV,13,985,6.62
307,28921,Disney Tsum Tsum,Kids,TV,Unknown,359,6.61
308,12351,eX-Driver the Movie Specials,Comedy,Special,3,497,6.61
309,34009,To Be Hero,Comedy,TV,12,14718,6.61
310,20987,Yozakura Quartet: Yoza-Quar!,Comedy,Special,6,4545,6.61
311,14317,Computer Kakumei: Saikyou x Saisoku no Zunou Tanjou,Sci-Fi,Special,1,5171,6.6
312,30237,Hyakka Ryouran: Samurai After Specials,Ecchi,Special,2,3703,6.6
313,32481,Love Live! Kouhaku Special Anime,Music,Special,1,1291,6.59
314,9795,Atashin&#039;chi Movie,Comedy,Movie,1,260,6.59
315,3776,Go! Go! Itsutsugo Land,School,TV,50,393,6.59
316,11221,Machikado no Märchen,Romance,OVA,1,333,6.59
317,17637,Miyakawa-ke no Kuufuku,Slice of Life,ONA,10,12077,6.59
318,2047,Ningyo,Fantasy,Movie,1,2265,6.59
319,21103,Utopia,Music,Music,1,3519,6.59
320,30573,Break Blade: Virgins War,Action,Special,1,1876,6.58
321,33240,Chi&#039;s Sweet Home (2016),Slice of Life,TV,Unknown,3437,6.57
322,6518,Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?,Kids,Movie,1,312,6.58
323,4760,Kanokon Specials,Ecchi,Special,12,19232,6.58
324,6310,Kinnikuman II Sei: Second Generations,Comedy,Movie,1,459,6.58
325,8496,Neko Neko Fantasia,Comedy,OVA,1,187,6.58
326,5819,Tori no Uta,Fantasy,OVA,1,2426,6.58
327,19081,Weekender Girl,Music,Music,1,1174,6.58
328,8815,Domo TV,Comedy,TV,26,832,6.57
329,8332,Kudan,Fantasy,Movie,1,189,6.57
330,7496,Saiyuuki: Son Gokuu Monogatari,Adventure,Movie,1,574,6.57
331,6705,Tayutayu: Pure My Heart,Comedy,Special,6,4876,6.57
332,12497,Garakuta-doori no Stain: Epilogue,Comedy,OVA,1,181,6.56
333,34213,Getsuyoubi no Tawawa,Slice of Life,ONA,12,16663,6.56
334,7601,Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari,Fantasy,OVA,3,318,6.56
335,23605,Ninja Slayer From Animation,Action,ONA,26,26062,6.56
336,3758,Panda no Daibouken,Adventure,Movie,1,300,6.56
337,5238,Chocolate Underground: Bokura no Chocolate Sensou,Adventure,Movie,1,1432,6.55
338,3683,Kabatotto,Comedy,TV,300,240,6.55
339,31566,Ketsuekigata-kun! 3,Comedy,TV,12,1317,6.55
340,32274,Ketsuekigata-kun! 4,Comedy,TV,12,1119,6.55
341,31534,Larva,Comedy,TV,26,139,6.57
342,3535,Neko Ramen,Comedy,ONA,13,2059,6.55
343,4890,Peut-etre Toi,Music,Music,1,1532,6.55
344,32502,BlazBlue: Alter Memory Specials,Comedy,Special,6,952,6.54
345,2915,Chikyuu ga Ugoita Hi,Drama,Movie,1,744,6.54
346,17345,Senran Kagura Specials,Ecchi,Special,6,8282,6.54
347,10849,Shinryaku! Ika Musume: Ika Ice Tabena-ika?,Music,Music,1,3600,6.54
348,15453,Shinryaku! Ika Musume: Kore ga Umi e no Ai Jana-ika!,Music,Music,1,2162,6.54
349,8949,Tottoko Hamtarou OVA 2: Hamuchanzu no Takara Sagashi Daisaku - Hamuha! Suteki na Umi no Natsuyasumi,Kids,OVA,1,749,6.54
350,17651,Genei wo Kakeru Taiyou,Magic,TV,13,33528,6.53
351,4800,Huckleberry Finn Monogatari,Adventure,TV,26,665,6.53
352,3147,Me gumi no Daigo: Kajiba no Baka Yarou,Drama,Movie,1,490,6.53
353,5272,Tondemo Nezumi Daikatsuyaku,Adventure,Movie,1,252,6.53
354,5917,Tsuru ni Notte: Tomoko no Bouken,Drama,Movie,1,321,6.53
