genre,type,rating
Comedy,TV,6.89
Sports,TV,6.89
Comedy,Special,6.88
Comedy,Special,6.88
Music,Music,6.87
Comedy,Special,6.87
Comedy,Special,6.87
Comedy,Special,6.87
Music,Music,6.86
School,Special,6.86
Comedy,Special,6.86
Comedy,OVA,6.86
Kids,TV,6.85
Comedy,TV,6.85
Music,Movie,6.82
Music,Special,6.84
Game,TV,6.84
Comedy,ONA,6.84
Music,Music,6.83
Comedy,Special,6.83
Comedy,Special,6.83
Drama,ONA,6.82
Adventure,Movie,6.82
Mystery,ONA,6.81
Comedy,OVA,6.82
Adventure,TV,6.81
Comedy,Special,6.81
Comedy,ONA,6.81
Comedy,Special,6.81
Comedy,Special,6.81
Slice of Life,OVA,6.81
Comedy,OVA,6.81
Comedy,Movie,6.8
Comedy,Special,6.8
Adventure,TV,6.8
Comedy,ONA,6.8
Fantasy,Movie,6.8
Music,Movie,6.79
Drama,Movie,6.79
Sci-Fi,OVA,6.79
Comedy,TV,6.79
Comedy,ONA,6.78
Comedy,Movie,6.78
Fantasy,TV,6.78
Comedy,OVA,6.78
Music,Music,6.78
Slice of Life,ONA,6.78
Comedy,Special,6.77
Comedy,Special,6.76
Kids,Movie,6.76
Comedy,Special,6.76
Romance,Special,6.76
Comedy,TV,6.75
Mystery,TV,6.75
Comedy,Special,6.75
Music,Music,6.75
Adventure,TV,6.74
Music,Music,6.74
Comedy,TV,6.74
Adventure,Special,6.74
Music,Special,6.73
Comedy,Special,6.74
Music,Music,6.74
Drama,Movie,6.74
Drama,Movie,6.73
Ecchi,Special,6.73
Drama,Movie,6.73
Comedy,Special,6.72
Comedy,Movie,6.72
Parody,OVA,6.72
Historical,TV,6.72
Sports,TV,6.71
Comedy,Special,6.7
Music,Music,6.7
Music,Music,6.69
Comedy,Special,6.69
Adventure,Movie,6.69
Adventure,Movie,6.69
Music,Music,6.69
Action,Special,6.68
Ecchi,Special,6.68
Drama,TV,6.68
Music,Music,6.68
Comedy,ONA,6.68
Music,Music,6.67
Comedy,OVA,6.67
Drama,Special,6.67
Sports,TV,6.67
Action,TV,6.66
Adventure,Movie,6.66
Music,Music,6.66
Music,Music,6.66
Slice of Life,Special,6.66
Comedy,OVA,6.66
Romance,Special,6.65
Kids,Movie,6.65
Kids,TV,6.65
Music,Music,6.65
Mecha,Special,6.65
Slice of Life,Special,6.65
Music,Music,6.66
Sports,TV,6.64
Comedy,ONA,6.64
Magic,Special,6.64
Adventure,Special,6.64
Mystery,TV,6.64
Comedy,Special,6.63
Music,Movie,6.63
Horror,TV,6.63
Comedy,Special,6.63
Slice of Life,Special,6.63
Action,ONA,6.63
Comedy,Special,6.62
Comedy,Special,6.62
Mystery,OVA,6.62
Adventure,Movie,6.62
Comedy,Special,6.62
Comedy,Special,6.62
Music,Music,6.62
Music,OVA,6.62
Music,Music,6.62
Adventure,Movie,6.62
Fantasy,Movie,6.62
Comedy,TV,6.62
Kids,TV,6.61
Comedy,Special,6.61
Comedy,TV,6.61
Comedy,Special,6.61
Sci-Fi,Special,6.6
Ecchi,Special,6.6
Music,Special,6.59
Comedy,Movie,6.59
School,TV,6.59
Romance,OVA,6.59
Slice of Life,ONA,6.59
Fantasy,Movie,6.59
Music,Music,6.59
Action,Special,6.58
Slice of Life,TV,6.57
Kids,Movie,6.58
Ecchi,Special,6.58
Comedy,Movie,6.58
Comedy,OVA,6.58
Fantasy,OVA,6.58
Music,Music,6.58
Comedy,TV,6.57
Fantasy,Movie,6.57
Adventure,Movie,6.57
Comedy,Special,6.57
Comedy,OVA,6.56
Slice of Life,ONA,6.56
Fantasy,OVA,6.56
Action,ONA,6.56
Adventure,Movie,6.56
Adventure,Movie,6.55
Comedy,TV,6.55
Comedy,TV,6.55
Comedy,TV,6.55
Comedy,TV,6.57
Comedy,ONA,6.55
Music,Music,6.55
Comedy,Special,6.54
Drama,Movie,6.54
Ecchi,Special,6.54
Music,Music,6.54
Music,Music,6.54
Kids,OVA,6.54
Magic,TV,6.53
Adventure,TV,6.53
Drama,Movie,6.53
Adventure,Movie,6.53
Drama,Movie,6.53
Music,Music,6.52
Comedy,Movie,6.52
Music,Music,6.52
Music,Music,6.52
Slice of Life,Special,6.52
Fantasy,Movie,6.52
Music,Music,6.52
Fantasy,Movie,6.51
Thriller,Special,6.51
Slice of Life,OVA,6.5
Action,ONA,6.51
Sports,TV,6.5
Comedy,OVA,6.5
Comedy,Special,6.5
Fantasy,TV,6.5
Sci-Fi,Movie,6.5
Comedy,Special,6.5
Comedy,TV,6.5
Drama,Movie,6.5
Adventure,Movie,6.5
Comedy,OVA,6.5
Sci-Fi,OVA,6.49
Comedy,Special,6.49
Mystery,TV,6.49
Drama,Movie,6.49
Comedy,TV,6.49
Comedy,Special,6.48
Comedy,TV,6.48
Fantasy,TV,6.48
Fantasy,ONA,6.48
Adventure,Movie,6.47
Drama,Special,6.46
Comedy,Special,6.46
Comedy,TV,6.46
Parody,Special,6.46
Comedy,Special,6.46
Comedy,Movie,6.46
Comedy,Special,6.46
Horror,TV,6.46
Comedy,TV,6.45
Comedy,Special,6.45
Comedy,Special,6.45
Fantasy,Movie,6.45
Parody,OVA,6.45
School,TV,6.45
Mystery,Special,6.45
Dementia,Movie,6.45
Music,Music,6.44
Adventure,TV,6.43
Comedy,TV,6.43
Music,Music,6.39
Slice of Life,ONA,6.42
Parody,Special,6.42
Comedy,Special,6.42
Comedy,Special,6.42
School,OVA,6.42
Comedy,Special,6.42
Music,Music,6.42
Mecha,OVA,6.42
Fantasy,Movie,6.41
Comedy,Special,6.41
Drama,ONA,6.41
Comedy,Special,6.41
Comedy,TV,6.4
Kids,OVA,6.4
Adventure,Movie,6.4
Comedy,TV,6.4
Game,TV,6.39
Horror,OVA,6.39
Sports,OVA,6.39
Mystery,Special,6.39
Drama,Special,6.39
Comedy,Special,6.39
Game,Special,6.38
Horror,OVA,6.38
Music,Music,6.38
Historical,OVA,6.38
Game,TV,6.38
Music,OVA,6.39
Comedy,Special,6.38
Ecchi,Special,6.37
Sci-Fi,Special,6.37
Slice of Life,TV,6.37
Music,Music,6.37
Comedy,Special,6.37
Mecha,TV,6.37
Horror,OVA,6.37
Magic,Special,6.36
Historical,Movie,6.36
Drama,Movie,6.36
Adventure,TV,6.35
Music,Music,6.36
Comedy,Special,6.35
Historical,Movie,6.35
Comedy,OVA,6.35
Kids,TV,6.35
Drama,Movie,6.35
Sci-Fi,Movie,6.34
Adventure,Special,6.34
Slice of Life,OVA,6.34
Sci-Fi,Special,6.34
Music,Music,6.34
Comedy,Movie,6.34
Parody,ONA,6.34
Mystery,ONA,6.33
Music,Special,6.32
Comedy,ONA,6.32
Comedy,TV,6.32
Kids,Movie,6.32
Comedy,Special,6.32
Comedy,Special,6.31
Ecchi,Special,6.32
Action,OVA,6.31
Music,Music,6.3
Kids,TV,6.3
Harem,OVA,6.3
Kids,OVA,6.3
Mystery,Movie,6.29
Drama,Special,6.29
Comedy,Special,6.29
Romance,ONA,6.28
Music,Music,6.28
Comedy,ONA,6.28
Comedy,Special,6.28
Kids,Special,6.28
Music,Music,6.28
Music,Music,6.27
Music,ONA,6.27
Fantasy,Special,6.27
Hentai,Movie,6.27
Music,Music,6.27
Drama,TV,6.27
Magic,TV,6.27
Sci-Fi,Special,6.26
Supernatural,Movie,6.26
Adventure,Special,6.26
Comedy,OVA,6.26
Fantasy,Movie,6.26
Comedy,Movie,6.26
Action,ONA,6.25
Comedy,OVA,6.25
Drama,Movie,6.25
Adventure,OVA,6.25
Historical,ONA,6.25
Ecchi,Special,6.25
Slice of Life,Special,6.25
Music,Music,6.25
Mystery,ONA,6.24
Comedy,TV,6.24
Action,Special,6.24
Slice of Life,ONA,6.24
Action,ONA,6.24
Romance,OVA,6.24
Fantasy,Special,6.23
Drama,ONA,6.22
Music,Music,6.22
Music,Music,6.22
Dementia,Movie,6.22
Shoujo,OVA,6.21
Fantasy,Movie,6.21
Fantasy,OVA,6.21
Kids,OVA,6.21
Magic,ONA,6.2
Fantasy,Movie,6.2
Comedy,Special,6.19
Sports,Special,6.19
Sci-Fi,ONA,6.19
Drama,Movie,6.19
Drama,Special,6.19
Cars,ONA,6.19
Ecchi,TV,6.18
Comedy,TV,6.18
Comedy,TV,6.17
Drama,Movie,6.17
Music,Music,6.17
Romance,OVA,6.17
Kids,Special,6.17
Comedy,TV,6.16
Comedy,ONA,6.17
Comedy,TV,6.16
Music,Music,6.16
Kids,Movie,6.15
Sci-Fi,Movie,6.15
Mecha,OVA,6.15
Music,Music,6.15
Comedy,TV,6.15
Slice of Life,OVA,6.15
Fantasy,Special,6.15
Drama,Special,6.15
Comedy,Movie,6.15
Music,OVA,6.14
Music,Music,6.14
Music,Music,6.13
Music,Special,6.13
Fantasy,Special,6.13
Music,Music,6.12
Music,Music,6.12
Sci-Fi,Special,6.12
Comedy,Special,6.13
Magic,OVA,6.11
Comedy,Special,6.11
Adventure,Movie,6.11
Romance,OVA,6.11
Kids,Special,6.11
Fantasy,Special,6.1
Fantasy,ONA,6.1
Fantasy,OVA,6.1
Slice of Life,Movie,6.1
Ecchi,Special,6.1
Comedy,Special,6.1
Music,Music,6.09
Music,Movie,6.09
Horror,OVA,6.09
Sci-Fi,Movie,6.08
Music,Music,6.08
Comedy,Movie,6.08
Music,Music,6.06
Music,Music,6.07
Ecchi,TV,6.07
Music,Music,6.07
Music,Music,6.07
Game,TV,6.07
Music,Music,6.07
Drama,Special,6.07
Music,Music,6.07
Comedy,ONA,6.07
Drama,Special,6.1
Music,Music,6.06
Mecha,TV,6.06
Psychological,Movie,6.06
Kids,TV,6.06
Music,Music,6.05
Fantasy,OVA,6.05
Comedy,TV,6.05
Magic,OVA,6.05
Ecchi,TV,6.05
Comedy,ONA,6.05
Comedy,Special,6.04
Fantasy,TV,6.03
Fantasy,Special,6.04
Slice of Life,TV,6.03
Music,Music,6.03
Magic,TV,6.03
Fantasy,OVA,6.02
Hentai,ONA,6.02
Slice of Life,Special,6.02
Music,Movie,6.02
Music,Music,6.01
Music,Music,6.02
Music,Music,6.01
Drama,Special,6.01
Action,TV,6.01
Fantasy,ONA,6
Kids,Special,6
Slice of Life,Special,5.99
Slice of Life,Special,5.99
Music,Music,5.99
Drama,ONA,5.99
Slice of Life,ONA,5.99
Music,Music,5.99
Comedy,Special,5.98
Music,Music,5.98
Comedy,ONA,5.98
Comedy,Special,5.98
Historical,Movie,5.98
Shoujo,ONA,5.97
Slice of Life,Movie,5.97
Comedy,TV,5.97
Music,Music,5.97
Comedy,Special,5.97
Music,OVA,5.97
Comedy,TV,5.96
Action,ONA,5.96
Music,Music,5.96
Music,Music,5.96
Music,ONA,5.97
Comedy,Special,5.96
Ecchi,Special,5.96
Comedy,Special,5.95
Comedy,Special,5.95
Slice of Life,Special,5.95
Comedy,OVA,5.95
Comedy,ONA,5.94
Adventure,Movie,5.94
Comedy,TV,5.94
Fantasy,Movie,5.94
Comedy,Special,5.94
Comedy,Special,5.94
Music,Music,5.94
Adventure,Special,5.93
Horror,TV,5.93
Adventure,ONA,5.92
Comedy,TV,5.92
Adventure,OVA,5.92
Music,Music,5.92
Drama,ONA,5.91
Comedy,Movie,5.91
Comedy,OVA,5.9
Music,Music,5.9
Music,Special,5.9
Action,ONA,5.9
Historical,Movie,5.9
Music,Music,5.88
Sci-Fi,ONA,5.88
Music,Music,5.88
Slice of Life,Special,5.88
Music,Music,5.88
Music,Music,5.88
Music,Movie,5.88
Music,Music,5.87
Horror,OVA,5.87
Shoujo,Special,5.87
Music,Music,5.86
Historical,Movie,5.86
Comedy,TV,5.86
Action,ONA,5.86
Action,OVA,5.85
Music,Music,5.85
Magic,TV,5.85
Music,OVA,5.85
Cars,OVA,5.85
Adventure,Movie,5.85
Comedy,ONA,5.85
Comedy,Movie,5.83
Comedy,TV,5.84
Shoujo,OVA,5.84
Ecchi,Special,5.83
Fantasy,OVA,5.83
Comedy,ONA,5.83
Shoujo,Special,5.83
Sci-Fi,Movie,5.83
Action,Movie,5.82
Drama,Movie,5.82
Fantasy,Special,5.82
Comedy,TV,5.82
Comedy,ONA,5.81
Music,Music,5.81
Fantasy,Special,5.81
Comedy,Movie,5.81
Music,Music,5.81
Action,OVA,5.8
Slice of Life,TV,5.8
Music,Music,5.8
Comedy,TV,5.8
Historical,Movie,5.8
Ecchi,Special,5.79
Slice of Life,Movie,5.79
Kids,Special,5.79
Sci-Fi,OVA,5.79
Hentai,Movie,5.79
Music,Music,5.79
Action,OVA,5.78
Comedy,TV,5.78
Comedy,Special,5.78
Fantasy,Movie,5.77
Music,Music,5.77
Supernatural,ONA,5.77
Parody,Movie,5.77
Kids,TV,5.76
Music,Music,5.77
Comedy,Movie,5.76
Music,Music,5.76
Music,Music,5.75
Music,Music,5.75
Music,Music,5.75
Comedy,Special,5.75
Comedy,Special,5.75
Music,Music,5.75
Music,Music,5.74
Slice of Life,Special,5.74
Comedy,Special,5.74
Fantasy,Special,5.73
Fantasy,TV,5.73
Music,Music,5.72
Music,TV,5.73
Music,Music,5.73
Magic,Special,5.72
Historical,Movie,5.72
Music,Music,5.72
Music,Music,5.72
Sci-Fi,Special,5.72
Music,Music,5.72
Slice of Life,Special,5.72
Drama,Movie,5.72
Horror,OVA,5.71
Music,Music,5.7
Slice of Life,Special,5.71
Supernatural,Movie,5.7
Slice of Life,Movie,5.69
Mecha,Special,5.69
Fantasy,ONA,5.68
Music,Music,5.68
Music,Music,5.68
Fantasy,Movie,5.68
Slice of Life,ONA,5.68
Kids,ONA,5.68
Music,Music,5.68
Slice of Life,Special,5.67
Dementia,Movie,5.67
Music,Music,5.67
Music,Music,5.67
Ecchi,Special,5.67
Comedy,ONA,5.66
Mystery,OVA,5.66
Music,Music,5.66
Music,Music,5.65
Cars,ONA,5.65
Music,Music,5.65
Hentai,Movie,5.65
Drama,OVA,5.64
Kids,Movie,5.64
Music,Music,5.64
Comedy,TV,5.64
Music,Music,5.64
Drama,Special,5.63
Music,Music,5.63
Slice of Life,Movie,5.63
Comedy,Movie,5.62
Mecha,Special,5.62
Music,Music,5.62
Adventure,OVA,5.62
Fantasy,Movie,5.61
Drama,Special,5.6
Comedy,Special,5.6
Dementia,Special,5.6
Music,Music,5.6
Fantasy,Movie,5.59
Sci-Fi,OVA,5.59
Comedy,TV,5.59
Comedy,ONA,5.59
Sports,Special,5.58
Drama,OVA,5.58
Music,Music,5.58
Comedy,Special,5.57
Sports,ONA,5.57
Harem,Special,5.57
Comedy,Movie,5.56
Comedy,ONA,5.56
Action,Special,5.55
Music,Music,5.55
Comedy,Movie,5.55
Kids,Movie,5.55
Music,Music,5.55
Music,Music,5.55
Slice of Life,Movie,5.55
Horror,ONA,5.55
Comedy,Movie,5.54
Music,Music,5.54
Kids,ONA,5.54
Comedy,Movie,5.53
Hentai,Movie,5.53
Music,Music,5.53
Hentai,Movie,5.52
Slice of Life,Special,5.52
Music,Music,5.51
Comedy,Special,5.51
Fantasy,OVA,5.51
Fantasy,ONA,5.5
Adventure,Movie,5.5
Action,Special,5.49
Shoujo,OVA,5.49
Music,Music,5.49
Comedy,Special,5.49
Action,Movie,5.49
Sci-Fi,Special,5.49
Comedy,TV,5.48
Fantasy,Movie,5.48
Historical,Movie,5.48
Comedy,ONA,5.48
Music,Music,5.48
Fantasy,Special,5.47
Music,Music,5.47
Music,Music,5.46
Adventure,ONA,5.46
Adventure,Movie,5.45
Music,Music,5.45
Comedy,Movie,5.45
Dementia,Movie,5.45
Hentai,Movie,5.44
Comedy,ONA,5.44
Slice of Life,Movie,5.44
Music,Music,5.44
Comedy,Movie,5.44
Dementia,Movie,5.43
Slice of Life,Special,5.43
Dementia,ONA,5.42
Comedy,OVA,5.42
Sports,Movie,5.42
Comedy,TV,5.42
Comedy,Special,5.41
Action,ONA,5.4
Fantasy,Movie,5.4
Music,Music,5.4
Comedy,ONA,5.4
Game,ONA,5.4
Slice of Life,ONA,5.4
Music,ONA,5.39
Music,Music,5.39
Music,Music,5.39
Music,Music,5.39
Sci-Fi,Movie,5.38
Comedy,ONA,5.38
Music,Music,5.38
Action,Movie,5.38
Comedy,Special,5.38
Comedy,ONA,5.38
Comedy,Movie,5.38
Kids,ONA,5.37
Dementia,Movie,5.37
Music,ONA,5.38
Slice of Life,ONA,5.37
Hentai,Movie,5.37
Dementia,Movie,5.37
Music,Music,5.36
Fantasy,Movie,5.36
Comedy,Movie,5.36
Music,Music,5.36
Slice of Life,Special,5.35
Fantasy,OVA,5.35
Music,Movie,5.35
Historical,TV,5.35
Slice of Life,Special,5.34
Music,Music,5.34
Action,ONA,5.33
Music,Music,5.34
Fantasy,Movie,5.34
Music,Music,5.34
Music,Music,5.33
Action,OVA,5.33
Horror,TV,5.33
Adventure,Movie,5.32
Fantasy,OVA,5.32
Music,TV,5.31
Action,Movie,5.31
Dementia,Movie,5.31
Slice of Life,Movie,5.3
Shoujo,Special,5.3
Music,Music,5.3
Psychological,Movie,5.3
Drama,Movie,5.29
Dementia,Movie,5.28
Music,Music,5.3
Comedy,Movie,5.28
Dementia,ONA,5.28
Music,Music,5.28
Dementia,Movie,5.28
Drama,ONA,5.27
Comedy,Movie,5.27
Dementia,Movie,5.27
Music,Music,5.26
Dementia,Movie,5.26
Music,Music,5.26
Hentai,Movie,5.26
Music,Music,5.26
Comedy,ONA,5.26
Mecha,OVA,5.26
Magic,Movie,5.25
Comedy,Movie,5.25
Music,Music,5.25
Music,Music,5.25
Dementia,Movie,5.25
Dementia,Movie,5.25
Music,Movie,5.24
Fantasy,OVA,5.23
Music,Music,5.23
Adventure,Movie,5.23
Psychological,Movie,5.22
Action,Movie,5.22
Mystery,OVA,5.22
Dementia,Movie,5.22
Dementia,Movie,5.21
Slice of Life,ONA,5.21
Music,Music,5.21
Music,Music,5.21
Hentai,Movie,5.2
Music,Music,5.2
Fantasy,Movie,5.19
Dementia,Movie,5.14
Fantasy,Movie,5.19
Action,Movie,5.18
Comedy,OVA,5.18
Action,Movie,5.17
Comedy,Special,5.17
Fantasy,ONA,5.17
Music,Movie,5.16
Comedy,Movie,5.16
Comedy,ONA,5.16
Kids,Movie,5.15
Adventure,Movie,5.15
Comedy,Movie,5.15
Slice of Life,ONA,5.15
Dementia,Movie,5.15
Hentai,Movie,5.15
Music,Music,5.14
Music,Music,5.13
Comedy,TV,5.13
Supernatural,Movie,5.13
Dementia,Movie,5.11
Music,Music,5.13
Music,Music,5.12
Music,Movie,5.12
Hentai,Movie,5.12
Music,Music,5.12
Comedy,Special,5.11
Slice of Life,Movie,5.11
Hentai,Movie,5.12
Dementia,Movie,5.1
Music,Music,5.1
Dementia,Movie,5.1
Adventure,Movie,5.09
Supernatural,Movie,5.09
Comedy,Movie,5.09
Psychological,Movie,5.07
Music,Music,5.08
Dementia,Movie,5.08
Hentai,Movie,5.08
Music,Music,5.07
Historical,Movie,5.08
Historical,Special,5.08
Sports,Movie,5.07
Comedy,ONA,5.07
Music,Music,5.06
Dementia,Movie,5.06
Drama,Movie,5.06
Fantasy,Special,5.06
Slice of Life,Special,5.06
Dementia,Movie,5.06
Hentai,Movie,5.05
Samurai,Movie,5.05
Comedy,TV,5.04
Dementia,Movie,5.04
Music,Music,5.04
Dementia,Movie,5.04
Dementia,Movie,5.03
Music,Music,5.02
Music,ONA,5.02
Music,Special,5.02
Dementia,Movie,5.02
Dementia,Movie,5.02
Music,Music,5.01
Action,ONA,5
Comedy,Movie,5
Comedy,Movie,5
Kids,Movie,4.99
Dementia,Movie,4.99
Action,Movie,4.98
Dementia,Movie,4.98
Comedy,Movie,4.97
Music,Music,4.95
Music,TV,4.95
Sci-Fi,OVA,4.95
Comedy,TV,4.94
Dementia,Movie,4.94
Music,Music,4.93
Comedy,Special,4.93
Shoujo,TV,4.93
Dementia,Movie,4.92
Hentai,Movie,4.92
Music,Music,4.93
Drama,Movie,4.92
Psychological,Special,4.91
Comedy,Movie,4.91
Dementia,Movie,4.91
Dementia,Movie,4.9
Supernatural,Movie,4.89
Psychological,Movie,4.89
Comedy,ONA,4.89
Horror,TV,4.88
Psychological,Movie,4.84
Comedy,Movie,4.88
Comedy,ONA,4.87
Dementia,Movie,4.87
Game,TV,4.86
Fantasy,Movie,4.86
Dementia,Movie,4.86
Fantasy,Movie,4.85
Music,Music,4.85
Music,Movie,4.84
Dementia,Movie,4.83
Dementia,Movie,4.83
Dementia,Movie,4.81
Fantasy,ONA,4.8
Dementia,Movie,4.8
Action,Movie,4.8
Hentai,Movie,4.8
Dementia,Movie,4.79
Music,Music,4.79
Comedy,ONA,4.76
Comedy,OVA,4.76
Magic,ONA,4.74
Kids,Movie,4.74
Comedy,Movie,4.73
Dementia,Movie,4.73
Music,Movie,4.72
Action,OVA,4.72
Samurai,Movie,4.72
Dementia,Movie,4.71
Comedy,TV,4.71
Hentai,Movie,4.71
Dementia,Movie,4.71
Comedy,ONA,4.7
Dementia,Movie,4.7
Dementia,Movie,4.7
Supernatural,Movie,4.69
Psychological,Movie,4.69
Dementia,Movie,4.69
Music,Music,4.68
Dementia,Movie,4.68
Horror,ONA,4.66
Action,Movie,4.67
Comedy,Special,4.65
Comedy,Movie,4.65
Action,Movie,4.64
Dementia,Movie,4.63
Dementia,Movie,4.63
Dementia,Movie,4.62
Military,Movie,4.62
Music,Music,4.62
Adventure,Movie,4.6
Dementia,Movie,4.58
Action,Movie,4.58
Music,Movie,4.57
Dementia,Movie,4.56
Dementia,Special,4.56
Dementia,ONA,4.56
Comedy,ONA,4.55
Comedy,ONA,4.55
Ecchi,OVA,4.54
Dementia,Movie,4.53
Dementia,Movie,4.52
Comedy,Movie,4.52
Comedy,Movie,4.48
Dementia,Movie,4.46
Kids,Movie,4.46
Dementia,Movie,4.46
Dementia,Movie,4.46
Adventure,Movie,4.45
Sci-Fi,Special,4.43
Music,Music,4.43
Action,TV,4.42
Music,Music,4.4
Dementia,Movie,4.4
Military,Movie,4.39
Dementia,ONA,4.38
Dementia,Movie,4.38
Adventure,Movie,4.35
Dementia,Movie,4.32
Dementia,Movie,4.3
Hentai,Movie,4.27
Sci-Fi,TV,4.27
Comedy,Movie,4.27
Vampire,Special,4.24
Dementia,Movie,4.21
Dementia,ONA,4.17
Dementia,Movie,4.17
Dementia,Movie,4.15
Dementia,Movie,4.15
Action,Movie,4.15
Dementia,ONA,4.11
Comedy,ONA,4
Dementia,Movie,4
Fantasy,OVA,3.99
Dementia,Movie,3.99
Dementia,Movie,3.98
Magic,TV,3.91
Psychological,Movie,3.9
Slice of Life,ONA,3.88
Dementia,Movie,3.88
Horror,ONA,3.84
Dementia,Movie,3.8
Dementia,ONA,3.76
Psychological,ONA,3.73
Sports,ONA,3.68
Horror,ONA,3.65
Comedy,Movie,3.63
Romance,ONA,3.6
Dementia,Movie,3.58
Dementia,Movie,3.59
Horror,ONA,3.33
Dementia,Movie,3.32
Dementia,Movie,3.27
Dementia,Movie,2.78
Horror,ONA,2.67
Dementia,Movie,2.67
Kids,Movie,5
Music,Music,4.06
Dementia,Special,4.03
Fantasy,TV,5.57
Comedy,OVA,5.67
Comedy,ONA,5
Comedy,TV,5.29
Kids,TV,5.35
Kids,Movie,5.48
Action,Special,5
Comedy,Movie,4.5
Music,Music,4.54
Comedy,OVA,4.3
Comedy,Special,4.17
Sci-Fi,OVA,5.87
Historical,OVA,5.48
Kids,TV,6.13
Kids,Movie,5.67
Music,Music,3.67
Dementia,Special,5.59
Sports,TV,6.71
Sports,TV,6.5
Comedy,OVA,5.84
